,word,phonetic,translation
5971,airplane,'єәplein,"n. 飞机
[机] 飞机"
5972,alien,'eiljәn,"n. 外国人, 外侨
a. 外国的, 相异的"
5973,alley,'æli,"n. 小路, 巷"
5974,allocate,'ælәukeit,"vt. 分派, 分配
[计] 分配"
5975,allowance,ә'lauәns,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
5976,almond,'ɑ:mәnd,"n. 杏仁
[化] 杏仁"
5977,alpine,'ælpain,"a. 高山的, 高山生长的"
5978,amazingly,,adv. 令人惊讶地；惊奇地
5979,ambience,'æmbiәns,"n. 周围环境, 气氛"
5980,amiss,ә'mis,"a. 有毛病的, 出差错的
adv. 错误地, 不顺当, 有缺陷地"
5981,ammo,'æmәu,"n. 军火, 弹药"
5982,ancestry,'ænsestri,"n. 祖先, 世系, 名门出身"
5983,ankle,'æŋkl,"n. 踝
[医] 踝, 踝关节"
5984,annal,'ænәl,n. 记录；编年史
5985,announcement,ә'naunsmәnt,"n. 公告, 发表, 告知
[经] 通告, 布告, 公告"
5986,annoying,ә'nɒiiŋ,"a. 恼人的, 讨厌的"
5987,antagonize,æn'tægәnaiz,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
5988,antioxidant,.ænti'ɒksidәnt,"n. 抗氧化剂, 防老化剂
[化] 抗氧剂; 抗氧化剂; 防老剂; 防老化剂"
5989,anyone,'eniwʌn,pron. 任何人
5990,apiece,ә'pi:s,"adv. 就每个而论, 各"
5991,applicant,'æplikәnt,"n. 申请者
[经] 申请人, 请求人, 谋事人"
5992,appoint,ә'pɒint,"vt. 任命, 指定, 下令
[法] 派, 派任, 任命"
5993,appointed,ә'pɔintid,"[法] 派任的, 任命的, 指定的"
5994,appropriateness,ə'prəupriətnis,n. 适当；适合
5995,archaeological,.ɑ:kiә'lɒdʒikl,"a. 考古学的, 考古学上的"
5996,arched,ɑ:tʃt,"a. 弓形结构的, 拱形的"
5997,architect,'ɑ:kitekt,"n. 建筑师, 设计者, 缔造者"
5998,architectural,.ɑ:ki'tektʃәrәl,"a. 有关建筑的, 建筑学的"
5999,arsenal,'ɑ:snәl,"n. 兵工厂, 军械库
[机] 兵工厂"
6000,artery,'ɑ:tәri,"n. 动脉, 干道, 要道
[医] 动脉"
6001,articulated,ɑ:'tikju:leitid,a. 铰接式的；清晰的；组织缜密的；有关节的
6002,artist,'ɑ:tist,"n. 艺术家, 画家"
6003,artistically,ɑ:'tistikli,"adv. 富有艺术地, 在艺术上"
6004,ascribe,ә'skraib,"vt. 归因于, 归咎于
[法] 归咎于"
6005,askew,ә'skju:,"a. 歪斜的
adv. 歪斜地"
6006,aspiration,.æspә'reiʃәn,"n. 热望, 志向, 渴望
[医] 吸入; 吸[引], 吸引术"
6007,aspire,ә'spaiә,"vi. 渴望, 立志于"
6008,assortment,ә'sɒ:tmәnt,"n. 分类, 各种各样
[医] [遗传]配列"
6009,assurance,ә'ʃuәrәns,"n. 保证, 把握, 信心, 保险
[经] 保证, 担保, 保险"
6010,assured,ә'ʃuәd,"a. 确定的, 自信的
[经] 被保险人, 被保证者, 投保人"
6011,astonishing,ә'stɒniʃiŋ,a. 令人惊讶的
6012,astounding,ә'staundiŋ,a. 令人惊骇的
6013,attachment,ә'tʃætʃmәnt,"n. 连接, 附属物, 连接物, 爱慕
[计] 附加, 附件"
6014,attendant,ә'tendәnt,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
6015,attraction,ә'trækʃәn,"n. 吸引, 吸引人的事物, 吸引力
[医] 吸引"
6016,attractiveness,,"[经] 吸引性, 有利可图"
6017,atypical,.ei'tipikl,"a. 非典型的
[医] 非典型的, 不标准的"
6018,audit,'ɒ:dit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
[计] 查帐; 审查; 检查"
6019,authentic,ɒ:'θentik,"a. 可靠的, 可信的, 真正的
[法] 被认证的, 确认的, 可信的"
6020,authorization,.ɒ:θәrai'zeiʃәn,"n. 授权, 许可
[经] 授权, 许可, 批准"
6021,automate,'ɔ:tәmeit,"vt.vi. (使)自动化
[计] 自动化"
6022,autonomous,ɒ:'tɒnәmәs,"a. 自治的
[医] 自主的"
6023,aviation,.eivi'eiʃәn,"n. 航空, 航空学, 飞行术
[法] 航空, 飞行, 飞行术"
6024,aw,ɔ:,"int. 哦！噢！（表示抗议, 厌恶, 讨厌等）"
6025,await,ә'weit,"vt. 等候
vi. 等待着"
6026,awareness,ә'weәnis,"n. 意识, 认识
[计] 识别, 议定, 明白"
6027,baking,'beikiŋ,"n. 烘焙, 一次烘焙的量
[机] 烘, 焙, 烤干"
6028,bald,bɒ:ld,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
6029,banquet,'bæŋkwit,n. 宴会
6030,basin,'beisn,"n. 盆, 盆地
[医] 第三脑室, 骨盆"
6031,battle,'bætl,"n. 战役
v. 战斗"
6032,bean,bi:n,"n. 豆子
[化] 油嘴; 豆"
6033,beard,biәd,"n. 胡须
vt. 抓住胡须, 公开反对"
6034,beautiful,'bju:tiful,a. 美丽的
6035,beforehand,bi'fɒ:hænd,adv. 预先
6036,behavioral,bi'heivjәrәl,a. 行为的
6037,belief,bi'li:f,"n. 信念, 相信, 信仰"
6038,belly,'beli,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
6039,bicycle,'baisikl,n. 自行车
6040,bile,bail,"n. 胆汁, 坏脾气, 暴躁
[医] 胆汁"
6041,binder,'baindә,"n. 捆缚者, 用以绑缚之物, 活页夹
[化] 粘结剂"
6042,biochemistry,.baiәu'kemistri,"n. 生物化学
[化] 生物化学; 生化"
6043,biting,'baitiŋ,"a. 刺痛的, 辛辣的
[医] 咬, 啮"
6044,biz,biz,[计] biz机构
6045,bleeding,'bli:diŋ,"n. 出血, 流血
[化] 渗色"
6046,blend,blend,"vt. 混合
n. 混合"
6047,blindly,'blaindli,"adv. 轻率地, 盲目地"
6048,bomb,bɒm,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
6049,boom,bu:m,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
6050,booming,'bu:miŋ,"a. 急速发展的
[经] 暴涨的, 大受欢迎的"
6051,boon,bu:n,n. 恩惠
6052,bored,,a. 无聊的；烦人的；无趣的
6053,borrowed,'bɒrәud,"a. 借来的, 伪造的, 虚构的"
6054,bother,'bɒðә,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
6055,bough,bau,n. 大树枝
6056,bout,baut,"n. 一回, 回合, 较量
[医] 发作"
6057,brag,bræg,"n. 吹牛
v. 吹牛"
6058,brass,bræs.brɑ:s,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
6059,breach,bri:tʃ,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
6060,breadth,bredθ,"n. 宽度
[法] 违背, 违犯, 未遵守"
6061,brochure,'brәuʃә,"n. 小册子, 小册"
6062,brute,bru:t,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
6063,bubbling,,[化] 起泡; 冒泡; 沸腾
6064,bud,bʌd,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
6065,budgetary,'bʌdʒitәri,"a. 预算的
[法] 预算的"
6066,buffalo,'bʌfәlәu,"n. 水牛
[机] 水牛"
6067,bunk,bʌŋk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
6068,burgeoning,,[计] 急速增长的
6069,burger,'bә:ɡә,n. 汉堡包（等于hamburger）
6070,burnt,bә:nt,burn的过去式和过去分词
6071,busted,,"a. 破产了的, 失败了的, 被降级的, 被逮捕的
[法] 被逮捕的"
6072,butter,'bʌtә,"n. 奶油, 黄油
vt. 涂黄油于"
6073,butterfly,'bʌtәflai,"n. 蝴蝶
[医] 蝶式棉块, 翼形皮癣, 纸蝶"
6074,buy,bai,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
6075,bystander,'baistændә(r),"n. 旁观者, 目击者
[法] 候补陪审员, 旁观者"
6076,cab,kæb,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
6077,calculator,'kælkjuleitә,"n. 计算者, 计算器
[计] 计算器"
6078,calculus,'kælkjulәs,n. 结石；微积分学
6079,camp,kæmp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
6080,cane,kein,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
6081,captive,'kæptiv,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
6082,cardboard,'kɑ:dbɒ:d,"n. 薄纸板
[化] 咭纸; 特等纸板; 卡纸板; 卡片纸板"
6083,cardiac,'kɑ:diæk,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
6084,cardinal,'kɑ:dinәl,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
6085,cart,kɑ:t,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
6086,carve,kɑ:v,"v. 雕刻, 切开"
6087,celebrate,'selibreit,"v. 庆祝, 祝贺, 举行"
6088,cellophane,'selәufein,"n. 玻璃纸
[化] 赛璐玢; 玻璃纸"
6089,census,'sensәs,"n. 户口普查
vt. 实施统计调查"
6090,centennial,sen'tenjәl,"n. 百年纪念
a. 一百年的"
6091,centralized,'sentrәlaizd,a. 集中的；中央集权的
6092,certification,.sә:tifi'keiʃәn,"n. 证明
[经] 证明"
6093,chalk,tʃɒ:k,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
6094,charger,'tʃɑ:dʒә,"n. 充电器, 冲锋者, 战马
[化] 充电器; 装料机; 加料机"
6095,chat,tʃæt,"n. 闲谈
vi. 闲谈, 聊天"
6096,chopped,tʃɔpt,v. 砍；斩碎；大量削减（chop的过去分词）
6097,chromosome,'krәumәsәum,"n. 染色体
[化] 染色体"
6098,church,tʃә:tʃ,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
6099,civilian,si'viljәn,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
6100,clam,klæm,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
6101,classroom,'klɑ:sru:m,n. 教室
6102,clause,klɒ:z,"n. 子句, 条款
[计] 子句"
6103,cleanly,'klenli,"a. 爱清洁的, 干净的, 清洁的
adv. 干净地, 利索地, 熟练地"
6104,clerk,klә:k,"n. 办事员, 职员, 文书
vi. 当店员"
6105,cleverly,,"adv. 聪明地, 全然, 完全, 巧妙地"
6106,clinically,,"adv. 临床, 临诊, 冷静, 不偏不倚, 分析"
6107,clone,klәun,"n. 无性系
[计] 代用件"
6108,cloudy,'klaudi,"a. 多云的, 有愁容的, 云的, 浑浊的
[建] (混)浊的"
6109,club,klʌb,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
6110,clue,klu:,"n. 线索, 暗示
vt. 暗示, 提供线索"
6111,cock,kɒk,"n. 公鸡, 雄禽, 龙头, 头目, 锥形小干草堆
vt. 使耸立, 使竖起, 堆成锥形小干草堆
vi. 大摇大摆地走, 翘起"
6112,coercive,kәu'ә:siv,"a. 强制的, 强压的, 强迫的
[法] 强制的, 强迫的, 强行的"
6113,cog,kɒg,"n. 嵌齿, 小船
vt. 给...装配齿轮, 欺骗"
6114,colonel,'kә:nәl,"n. 陆军上校, 长官"
6115,combustion,kәm'bʌstʃәn,"n. 燃烧, 骚动
[化] 燃烧"
6116,commence,kә'mens,"v. (使)开始, 得学位"
6117,committed,,"a. 献身于某种事业的
[计] 委托的"
6118,commonality,.kɒmә'næliti,"n. 共同特性, 平民百姓"
6119,commonwealth,'kɔmәnwelθ,n. 共和国；联邦；国民整体
6120,communal,'kɒmjunәl,"a. 公有的, 公社的
[法] 公共的, 自治体的, 巴黎公社的"
6121,compass,'kʌmpәs,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
6122,competitor,kәm'petitә,"n. 竞争者
[经] 竞争者, 竞争对手"
6123,complacent,kәm'pleisnt,"a. 满足的, 自满的, 得意的"
6124,compliance,kәm'plaiәns,"n. 遵从, 顺从, 屈从
[化] 柔顺; 顺应"
6125,compositional,,[计] 组合的
6126,compulsory,kәm'pʌlsәri,"a. 被强制的, 强迫的, 义务的
[经] 强迫的, 强制的"
6127,computerized,kәm'pju:tәraizd,a. 电脑的；用电脑处理的；电脑化的
6128,concealed,,"a. 隐蔽的, 隐匿的"
6129,conceivably,kәn'si:vәbli,"adv. 想得到地, 想象上, 以为"
6130,conceptualize,kәn'septjuәlaiz,"vt. 使概念化
[计] 概念表达"
6131,conclusively,,"adv. 最后, 释疑, 确定性, 结论性"
6132,concur,kәn'kә:,"vi. 同意, 一致, 同时发生
[法] 同时发生, 并发, 同意"
6133,condemn,kәn'dem,"vt. 判刑, 责备, 谴责
[法] 定罪, 判刑, 宣告有罪"
6134,conditional,kәn'diʃәnl,"a. 有条件的, 有前提的
[电] 有条件的"
6135,confidential,.kɒnfi'denʃәl,"a. 机密的, 获他人信赖的, 易于信任他人的
[经] 秘密件"
6136,confluence,'kɒnfluәns,"n. 合流, 合流点, 集合, 人群
[医] 融合, 汇合"
6137,conformity,kәn'fɒ:miti,"n. 遵照, 适合, 一致, 相似
[计] 符合度"
6138,confront,kәn'frʌnt,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
[法] 对证, 使对质, 比较"
6139,confuse,kәn'fju:z,"vt. 使混乱, 使狼狈, 使困惑
[法] 混淆"
6140,congratulate,kәn'grætʃәleit,"vt. 祝贺, 庆贺"
6141,congregate,'kɒŋgrigeit,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
6142,congressional,kәn'greʃәnl,"a. 会议的, 议会的, 国会的
[法] 代表大会的, 大会的, 议会的"
6143,conscious,'kɒnʃәs,"a. 有意识的, 知觉的, 觉察的
[医] 有意识的, 清醒的"
6144,consolidated,kәn'sɔlideitid,a. 整理过的；巩固的；统一的
6145,consolidation,kәn.sɒli'deiʃәn,"n. 巩固, 团结, 合并, 加强
[医] 实变"
6146,constellation,.kɒnstә'leiʃәn,"n. 星座, 荟萃
[化] 构象"
6147,consult,kәn'sʌlt,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
6148,consultation,.kɒnsәl'teiʃәn,"n. 请教, 咨询, 磋商会
[医] 会诊"
6149,consumer,kәn'sju:mә,"n. 消费者
[经] 消费者, 用户"
6150,contemplate,'kɒntempleit,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
6151,contending,,[计] 争先的
6152,contentious,kәn'tenʃәs,"a. 好争吵的, 爱争论的, 有异议的
[法] 诉讼的, 争执的, 引起争论的"
6153,continental,.kɒnti'nentl,"a. 大陆的, 洲的
n. 欧洲大陆人"
6154,contradict,.kɒntrә'dikt,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
6155,convince,kәn'vins,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
6156,convincingly,,"adv. 有说服力, 使人信服, 令人信服"
6157,cookie,'kuki,"n. 饼干, 小甜点
[建] 糕点"
6158,coordinator,kәu'ɒ:dineitә,"n. 协调者, 同等的人或物
[化] 协调器"
6159,coral,'kɒrәl,"n. 珊瑚, 珊瑚色
[化] 珊瑚"
6160,corkscrew,'kɒ:kskru:,"n. 拔塞钻
a. 螺旋形的
vt. 硬拉出, 探听
vi. 曲折行进"
6161,corn,kɒ:n,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
6162,corporate,'kɒ:pәrit,"a. 社团的, 合伙的, 公司的
[经] 团体的, 法人的, 社团的"
6163,corral,kɒ:'rɑ:l,"n. 畜栏
vt. 把...关进畜栏"
6164,cosmetics,,n. 装饰品；化妆品（cosmetic的复数）
6165,counterbalance,'kauntә.bælәns,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
6166,counterproductive,.kauntәprә'dʌktiv,a. 反生产的；使达不到预期目标的
6167,covert,'kʌvәt. 'kәuvәt,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
6168,cow,kau,"n. 母牛, 母兽
vt. 威胁"
6169,credence,'kri:dәns,"n. 信任, 祭器台, 供桌, 凭证
[法] 设计人, 创立人, 创设人"
6170,criticism,'kritisizm,"n. 批评, 评论, 非难
[法] 批判, 批评, 评论"
6171,crooked,'krukid,"a. 弯曲的, 歪的, 邪恶的"
6172,crossroads,,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
6173,crosstalk,"'krɔs,tɔ:k","[计] 串扰, 串音, 串话"
6174,culprit,'kʌlprit,"n. 犯人, 罪犯, 刑事被告
[法] 犯罪者, 犯人, 罪犯"
6175,cultivate,'kʌltiveit,"vt. 培养, 耕作"
6176,cure,kjuә,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
6177,curiously,'kjuәriәsli,adv. 好奇地
6178,curl,kә:l,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
6179,curving,'kә:viŋ,a. 弯曲的
6180,customize,kʌstәmaiz,"vt. 定制, 按规格改制, 定做
[计] 定制"
6181,cyclone,'saiklәun,"n. 龙卷风, 暴风
[化] 旋流(分离,除尘)器"
6182,daisy,'deizi,"n. 雏菊, 一流人物
a. 第一流的"
6183,dare,dєә,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
6184,dart,dɑ:t,"n. 飞镖, 投射
vt. 投射
vi. 疾走, 突进"
6185,dating,'deitiŋ,"[计] 记日期的
[经] 注明日期"
6186,deadlock,'dedlɒk,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
[计] 死锁"
6187,dear,'diә,"n. 亲爱的人
a. 亲爱的, 昂贵的, 严重的, 急迫的
interj. 啊
adv. 深爱地, 高价地"
6188,decentralized,,"a. 分散化, 分散式；分散管理的；分散的；去中心化"
6189,deciding,di'saidiŋ,[计] 判定
6190,declared,di'klєәd,"a. 公告的, 公然的"
6191,deepening,'di:pәniŋ,"n. 加深, 延深；向下侵蚀"
6192,deepest,dipɪst,a. 深的（ deep的最高级 ）; 严重的; 深奥的; 有…深的
6193,deficient,di'fiʃәnt,"a. 不足的, 不充分的, 有缺陷的"
6194,defy,di'fai,"vt. 藐视, 挑衅, 使落空
n. 挑战"
6195,degeneration,di.dʒenә'reiʃәn,"n. 退化, 恶化, 堕落
[化] 简并性"
6196,delicately,,adv. 优美地；微妙地；精致地
6197,deliverance,di'livәrәns,"n. 解脱, 解救, 释放, 判决
[法] 交保, 判决, 正式意见"
6198,democracy,di'mɒkrәsi,"n. 民主政治, 民主主义
[法] 民主, 民主政治, 民主政体"
6199,departed,di'pɑ:tid,"a. 过去的, 以往的, 死了的"
6200,desert,'dezәt. di'sә:t,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
6201,destabilize,di:'steibilaiz,vt. 使动摇
6202,deteriorating,diˈtiəriəreitɪŋ,"v. 恶化, 变坏( deteriorate的现在分词 )"
6203,determinant,di'tә:minәnt,"n. 决定物, 决定因素
a. 决定性的
[计] 判定"
6204,deterrence,di'tә:rәns,"n. 威慑, 威慑力量
[法] 威慑力量, 制止物"
6205,detour,'di:tuә,"n. 绕路, 迂回
v. (使)绕道"
6206,devil,'devәl,"n. 魔鬼
vt. 折磨, 戏弄"
6207,devote,di'vәut,"vt. 投入于, 献身"
6208,diagonally,dai'ægәnәli,adv. 对角地
6209,dichotomous,dai'kɒtәmәs,"a. 二分的, 叉状分枝的
[医] 二分的; 二叉的, 二歧的"
6210,dick,dik,"n. 家伙, 词典, 誓言(书)
[医] 二氯乙胂(毒气)"
6211,dictionary,'dikʃәnәri,"n. 字典, 词典
[计] 词典"
6212,didactic,"di'dæktik(әl), dai-","a. 教训的, 说教的, 教导的, 教诲的
[医] 教导的"
6213,dig,dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
[计] 数字, 数位"
6214,digestive,di'dʒestiv,"a. 消化的, 助消化的
n. 助消化药"
6215,digitize,'didʒitaiz,"vt. 使成为数字, 使计数化, 使数字化
[计] 数字化"
6216,dilate,dai'leit,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
6217,dine,dain,"vi. 用正餐, 进餐
vt. 宴请"
6218,dinner,'dinә,"n. 晚餐, 正餐, 宴会"
6219,dire,daiә,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
6220,disassemble,.disә'sembl,"vt. 解开, 拆开"
6221,discerning,di's\\:niŋ,"a. 有眼力的, 敏锐的, 有辨别能力的, 有洞察力的"
6222,discipline,'disiplin,"n. 训练, 纪律
vt. 训练, 惩罚"
6223,disclaimer,dis'kleimә,"n. 放弃, 拒负责任, 不承诺
[经] 弃权或不申诉条款"
6224,disconcerting,ˌdɪskən'sɜ:rtɪŋ,"a. 困惑的, 不安的, 尴尬的
v. 使不安( disconcert的现在分词); 使为难; 使慌张; 使窘迫"
6225,discover,dis'kʌvә,"vt. 发现, 找到, 暴露
vi. 发现"
6226,discredit,dis'kredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
6227,discretionary,dis'kreʃәnәri,[计] 选择的
6228,diseased,di'zi:zd,"a. 害病的, 病态的, 不健全的"
6229,disintegrate,dis'intigreit,"vt. (使)分解, (使)碎裂
[医] 分解, 分裂, 蜕变"
6230,dismantling,dis'mæntliŋ,(枪枝)分解
6231,disputed,,a. 有争议的
6232,disregard,.disri'gɑ:d,"n. 忽视, 漠视
vt. 忽视, 不顾"
6233,dissection,di'sekʃәn,"n. 解剖, 切开
[化] 解剖"
6234,dissimilar,di'similә,"a. 不同的, 相异的"
6235,distal,'distәl,"a. 末梢的
[医] 远侧的, 远中的(牙)"
6236,distract,dis'trækt,"vt. 转移, 分心, 使发狂"
6237,divine,di'vain,"a. 神的, 神圣的, 非凡的
n. 神学家"
6238,dope,dәup,"n. 吸毒者, 笨蛋, 麻醉药物, 粘稠物
vt. 麻痹, 上涂料, 预测出
vi. 吸毒"
6239,downhill,'daun'hil,"a. 下坡的
adv. 下坡, 向下"
6240,downside,'daunsaid,n. 底侧；下降趋势
6241,downsize,daun'saiz,vt. 以较小尺寸设计；缩小尺寸；裁减人数
6242,downsizing,,[计] 小型化
6243,downtown,'daun'taun,"n. 市中心区
a. 市中心的
adv. 往闹市区"
6244,dragon,'drægәn,"n. 龙, 凶暴的人
[法] 凶恶的人, 凶恶严厉的监护人"
6245,drain,drein,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
6246,dummy,'dʌmi,"n. 傀儡, 假人, 仿制品
a. 虚设的, 假的, 名义上的"
6247,dusk,dʌsk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
6248,dysfunctional,dɪsˈfʌŋkʃənl,a. 功能失调的
6249,eastern,'i:stәn,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
6250,economically,i:kә'nɔmikәli,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
6251,ecosystem,'i:kәu.sistәm,"n. 生态系统
[医] 生态系"
6252,eddy,'edi,"n. 逆流, 漩涡
v. (使)起漩涡"
6253,edifice,'edifis,"n. 大厦, 大建筑物"
6254,edit,'edit,"vt. 编辑, 编校, 修订, 剪辑
[计] 编辑; DOS外部命令:该命令是一个用于编辑文本文件的全屏幕编辑程序"
6255,effortlessly,'efətləslɪ,"adv. 不作努力地, 不费力地"
6256,elaborately,i'læbәreitli,"adv. 苦心经营地, 精巧地"
6257,elect,i'lekt,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
6258,elected,i'lektid,"vt. 选举, 推选"
6259,elegance,'eligәns,"n. 高雅, 典雅, 优雅"
6260,elegantly,,adv. 优美地
6261,elevate,'eliveit,"vt. 举起, 提拔, 鼓舞"
6262,elevation,.eli'veiʃәn,"n. 海拔, 提高, 仰角
[计] 仰角"
6263,elicit,i'lisit,"vt. 引出, 推导出, 引起"
6264,elk,elk,n. 麋鹿
6265,emblematic,",embli'mætik","a. 象征的, 典型的"
6266,empire,'empaiә,"n. 帝国, 帝权"
6267,encircle,in'sә:kl,"vt. 环绕, 围绕, 包围"
6268,enclose,in'klәuz,"vt. 围绕, 圈起, 放入封套, 附上"
6269,endorse,in'dɒ:s,"vt. 支持, 赞同, 背书于, 签署
[经] 赞成, 背书"
6270,endurance,in'djuәrәns,"n. 忍耐, 忍耐力, 耐性
[机] 持九性"
6271,endure,in'djuә,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
6272,engagement,in'geidʒdmәnt,"n. 诺言, 约会, 婚约, 交战
[医] 衔接"
6273,engender,in'dʒendә,"vt. 产生, 引起
vi. 发生, 形成"
6274,ensue,en'su:,"vi. 跟着发生, 继起
vt. 追求"
6275,enthusiasm,in'θju:ziæzәm,"n. 巨大的热情, 热心"
6276,entity,'entiti,"n. 实体, 实存物, 存在
[计] 实体"
6277,entrant,'entrәnt,"n. 新会员, 新成员, 进入者"
6278,environmentally,,adv. 有关环境方面
6279,eon,'i:әn,"n. 永世, 万古"
6280,erratic,i'rætik,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
6281,escort,'eskɒ:t,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
6282,estate,i'steit,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
6283,ethical,'eθikәl,"a. 伦理的, 民族的, 民族特有的
[医] 伦理的, 道德的"
6284,ethics,'eθiks,"n. 道德规范
[医] 伦理学"
6285,evacuate,i'vækjueit,"v. 疏散, 撤出, 排泄"
6286,eve,i:v,"n. 前夕, 前夜"
6287,everlasting,.evә'læstiŋ,"a. 永恒的, 持久的
n. 上帝, 神"
6288,evince,i'vins,"vt. 表明(感情等), 表示出(特性等)"
6289,exaggerate,ig'zædʒәreit,"v. 夸大, 夸张"
6290,excerpt,'eksә:pt,"n. 摘录
v. 引用, 摘录"
6291,exemplify,ig'zemplifai,"vt. 例证, 例示
[法] 制作经公章证明的誊本, 例证"
6292,exempt,ig'zempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
6293,exhibition,.eksi'biʃәn,"n. 表现, 展览会, 展览品
[医] 投药, 展览, 展出"
6294,expedite,'ekspidait,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
6295,explorer,ik'splɒ:rә,"n. 探险家, 探测者, 勘探器
[医] 探察器"
6296,explosives,,"n. 爆炸物, 炸药；爆炸品（explosive的复数）"
6297,expound,ik'spaund,"v. 详细说明, 解释"
6298,expressly,ik'spresli,"adv. 明白地, 清楚地, 特意地"
6299,extremity,ik'stremiti,"n. 极端, 极点, 困境, 绝境
[医] 肢, 端"
6300,facilitator,fә'siliteitә,n. 服务商；促进者
6301,fad,fæd,"n. 时尚
[化] 黄素腺嘌呤二核苷酸"
6302,familiarity,fә.mili'æriti,"n. 熟悉, 精通, 亲密"
6303,famously,'feimәsli,"adv. 极好地, 非常令人满意地"
6304,fare,fєә,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
6305,farm,fɑ:m,"n. 农场, 农田
vt. 耕种
vi. 种田"
